Pair_ID,Pair_label,Nigeria_status,Contig,Region,N_sites_0fold,N_sites_4fold,Low_sites_0fold,Low_sites_4fold
BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,Without Nigeria,3R,3R:34200685-35200684,31170,8453,False,False
BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,Without Nigeria,3R,3R:35200685-36200684,55922,13893,False,False
BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,Without Nigeria,3R,3R:36200685-37200684,50124,12882,False,False
BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,Without Nigeria,3R,3R:37200685-38200684,40318,10427,False,False
BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,Without Nigeria,3R,3R:38200685-39200684,15162,3935,False,False
BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,Without Nigeria,3R,3R:39200685-40200684,4046,929,False,True
BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,Without Nigeria,3R,3R:40200685-41200684,943,154,True,True
BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,Without Nigeria,3R,3R:41200685-42200684,25544,6292,False,False
BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,Without Nigeria,3R,3R:42200685-43200684,20567,4926,False,False
BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,Without Nigeria,3R,3R:43200685-44200684,58548,15577,False,False
BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,Without Nigeria,3R,3R:44200685-45200684,29111,7524,False,False
BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,Without Nigeria,3R,3R:45200685-46200684,32093,8172,False,False
