Comparison_group,Pair_ID,Pair_short,Pair_label,Country_pair,Location_pair,N_population_1,N_population_2,Minimum_pair_population_size,Contig,Region,Distance_from_CEN_midpoint_Mb,Site_class,FST_estimate,Jackknife_standard_error,FST_to_SE_ratio,n_jack,Run_status,Error_message
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:23393109-24393108,0.5,0-fold,0.0025753995167423,0.0030198123528998,0.8528342876236171,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:22393109-23393108,1.5,4-fold,0.0002915536614179,0.0021288912856957,0.13695093938186853,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:22393109-23393108,1.5,0-fold,0.0003578898565065,0.0004573019844368,0.7826116410740419,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:21393109-22393108,2.5,4-fold,0.0027330307663706,0.0024581648073161,1.1118175470726908,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:21393109-22393108,2.5,0-fold,0.0047385723602226,0.0058703112415417,0.8072097313494615,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:20393109-21393108,3.5,4-fold,0.0050334829298915,0.0073432820431477,0.6854541198766071,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:20393109-21393108,3.5,0-fold,0.0,0.0010320318960599,0.0,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:19393109-20393108,4.5,4-fold,0.0016652480930722,0.0014144839984686,1.1772830904238516,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:19393109-20393108,4.5,0-fold,0.0037370785774155,0.0025468639034526,1.4673255890703119,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:18393109-19393108,5.5,4-fold,0.0048461181316303,0.001053262045886,4.601056451771947,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:18393109-19393108,5.5,0-fold,0.0028432302434457,0.0009034343380246,3.147135462730531,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:17393109-18393108,6.5,4-fold,0.004089755795752,0.0010998719667429,3.718392612426678,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:17393109-18393108,6.5,0-fold,0.0062726746226581,0.0010155781309952,6.176456966940879,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:16393109-17393108,7.5,4-fold,0.0157440066571329,0.002564968649942,6.138089312510276,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:16393109-17393108,7.5,0-fold,0.014330212327249,0.0033685281369911,4.254146542486447,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:15393109-16393108,8.5,4-fold,0.1174970648084609,0.0281826173942297,4.169132453698855,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:15393109-16393108,8.5,0-fold,0.1822146310940506,0.0543466000333981,3.3528248497987474,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:14393109-15393108,9.5,4-fold,0.1593170788148027,0.039643245940862,4.018769781174445,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:14393109-15393108,9.5,0-fold,0.2008783952759735,0.0434478719404274,4.6234346195690215,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:13393109-14393108,10.5,4-fold,0.0160695454617446,0.004453128600302,3.608596765127062,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:13393109-14393108,10.5,0-fold,0.0096221923274575,0.0037098938317002,2.593657059735255,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:12393109-13393108,11.5,4-fold,0.001996017412457,0.000646803912511,3.0859699112025,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:12393109-13393108,11.5,0-fold,0.0016150383092021,0.0008467339666764,1.9073739483269438,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:11393109-12393108,12.5,4-fold,0.0008822653410062,0.0005620091961697,1.5698414670421121,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:11393109-12393108,12.5,0-fold,0.001661462197884,0.0007872653611399,2.110422076081602,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:10393109-11393108,13.5,4-fold,0.0007879528391585,0.0005692582241665,1.3841747131755708,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:10393109-11393108,13.5,0-fold,0.0006497266694211,0.0005617633222477,1.1565843544598913,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:9393109-10393108,14.5,4-fold,0.0038347424563843,0.0006049675483594,6.33875728835979,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:9393109-10393108,14.5,0-fold,0.0081949340833393,0.0015380558864688,5.3281120376932005,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:8393109-9393108,15.5,4-fold,0.0108774936500629,0.0027730495037378,3.922574636839732,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:8393109-9393108,15.5,0-fold,0.0119869063917879,0.0035511319690166,3.3755170172139177,20,success,
